lokal,naslov,city,cena,cena_old,doplacilo,doplacilo_old,lat,lon,posid,detailslink,sort-group,cena_diff,doplacilo_diff,cena_diff_percent,doplacilo_diff_percent
MC PANDA,Ulica Vita Kraigherja 5,MARIBOR,4.5,3.32,1.0,0.5,46.5587501,15.6505413,3205,/sl/restaurant/Details/3205,77,1.1800000000000002,0.5,35.54216867469881,100.0
MCDONALD S RESTAVRACIJA  - MURSKA SOBOTA,Nemčavci 1d,MURSKA SOBOTA,6.5,4.82,3.0,2.0,46.6694982,16.1775262,3122,/sl/restaurant/Details/3122,77,1.6799999999999997,1.0,34.854771784232355,50.0
MCDONALD´S RESTAVRACIJA - SWATY,Tržaška 6,MARIBOR,6.5,4.82,3.0,2.0,46.54175582,15.64776005,1182,/sl/restaurant/Details/1182,77,1.6799999999999997,1.0,34.854771784232355,50.0
MCDONALD´S RESTAVRACIJA EUROPARK,Pobreška 18,MARIBOR,6.5,4.82,3.0,2.0,46.55381546,15.6514902,1185,/sl/restaurant/Details/1185,77,1.6799999999999997,1.0,34.854771784232355,50.0
MCDONALD´S RESTAVRACIJA PTUJSKA,Ptujska 106,MARIBOR,6.5,4.82,3.0,2.0,46.5349073,15.6622092,1184,/sl/restaurant/Details/1184,77,1.6799999999999997,1.0,34.854771784232355,50.0
MCDONALD´S RESTAVRACIJA VELENJE,Kidričeva 2b,VELENJE,6.5,4.82,3.0,2.0,46.35996095,15.11980472,1179,/sl/restaurant/Details/1179,77,1.6799999999999997,1.0,34.854771784232355,50.0
MCDONALD'S RESTAVRACIJA - ALEJA,Rakuševa ulica 1,LJUBLJANA,6.5,4.82,3.0,2.0,46.0782899,14.4836777,3107,/sl/restaurant/Details/3107,77,1.6799999999999997,1.0,34.854771784232355,50.0
MCDONALD'S RESTAVRACIJA - CELJE DRIVE,Mariborska cesta 164,CELJE,6.5,4.82,3.0,2.0,46.247996,15.280446,2868,/sl/restaurant/Details/2868,77,1.6799999999999997,1.0,34.854771784232355,50.0
MCDONALD'S RESTAVRACIJA - CELOVŠKA,Celovška cesta 170,LJUBLJANA,6.5,4.82,3.0,2.0,46.0749608,14.4846712,1341,/sl/restaurant/Details/1341,77,1.6799999999999997,1.0,34.854771784232355,50.0
,,,,4.82,,2.0,,,1377,,,,,,
MCDONALD'S RESTAVRACIJA - DOMŽALE,Breznikova 15,DOMŽALE,6.5,4.82,3.0,2.0,46.1468404,14.5975108,1342,/sl/restaurant/Details/1342,77,1.6799999999999997,1.0,34.854771784232355,50.0
MCDONALD'S RESTAVRACIJA - KRANJ DRIVE,Cesta Boštjana Hladnika 7,KRANJ,6.5,4.82,3.0,2.0,46.232304,14.369412,2866,/sl/restaurant/Details/2866,77,1.6799999999999997,1.0,34.854771784232355,50.0
MCDONALD'S RESTAVRACIJA - NOVO MESTO,Ljubljanska 24,NOVO MESTO,6.5,4.82,3.0,2.0,45.81480455,15.15417151,1381,/sl/restaurant/Details/1381,77,1.6799999999999997,1.0,34.854771784232355,50.0
MCDONALD'S RESTAVRACIJA - RUDNIK,Premrlova ulica 12,LJUBLJANA,6.5,4.82,3.0,2.0,46.0175171,14.53007184,1536,/sl/restaurant/Details/1536,77,1.6799999999999997,1.0,34.854771784232355,50.0
MCDONALD'S RESTAVRACIJA - ŠMARTINKA DRIVE,Šmartinska 147,LJUBLJANA,6.5,4.82,3.0,2.0,46.0694793,14.5408094,3164,/sl/restaurant/Details/3164,77,1.6799999999999997,1.0,34.854771784232355,50.0
MCDONALD'S RESTAVRACIJA - ŽELEZNIŠKA,Trg osvobodilne fronte 6,LJUBLJANA,6.5,4.82,3.0,2.0,46.05797458,14.51181272,1379,/sl/restaurant/Details/1379,77,1.6799999999999997,1.0,34.854771784232355,50.0
MCDONALD'S RESTAVRACIJA - ŽITO,Šmartinska 154,LJUBLJANA,6.5,4.82,3.0,2.0,46.06947767,14.54738666,1378,/sl/restaurant/Details/1378,77,1.6799999999999997,1.0,34.854771784232355,50.0
MCDONALD'S RESTAVRACIJA KOPER,Ankaranska 4,KOPER/CAPODISTRIA,6.5,4.82,3.0,2.0,45.54149179,13.73655012,2253,/sl/restaurant/Details/2253,77,1.6799999999999997,1.0,34.854771784232355,50.0
MCDONALD'S RESTAVRACIJA NOVA GORICA,Vojkova cesta 111,NOVA GORICA,6.5,4.82,3.0,2.0,45.954703,13.653513,2815,/sl/restaurant/Details/2815,77,1.6799999999999997,1.0,34.854771784232355,50.0
ME GUSTA,Jezdarska ulica 8b,MARIBOR,6.2,4.42,2.7,1.6,46.5513718,15.6409209,2648,/sl/restaurant/Details/2648,77,1.7800000000000002,1.1,40.27149321266969,68.75
MEATING PUB & RESTAVRACIJA,Mlinska ulica 2,MARIBOR,7.9,6.52,4.4,3.7,46.5603608,15.6553755,3138,/sl/restaurant/Details/3138,77,1.3800000000000008,0.7000000000000002,21.165644171779157,18.918918918918923
MEHIŠKA RESTAVRACIJA IMPERIO MEXICANO,Moskovska ulica 4,LJUBLJANA,9.0,7.0,5.5,4.18,46.0702369,14.5490389,1407,/sl/restaurant/Details/1407,77,2.0,1.3200000000000003,28.57142857142857,31.578947368421062
MENZA BF,Večna pot 111,LJUBLJANA,8.0,5.82,4.5,3.0,46.0512363,14.4699693,2023,/sl/restaurant/Details/2023,77,2.1799999999999997,1.5,37.457044673539514,50.0
MENZA FE,Tržaška cesta 25,LJUBLJANA,8.0,5.82,4.5,3.0,46.0448994,14.4892307,2521,/sl/restaurant/Details/2521,77,2.1799999999999997,1.5,37.457044673539514,50.0
MENZA PF,Poljanski nasip 2,LJUBLJANA,8.0,5.82,4.5,3.0,46.0516682,14.5107486,1474,/sl/restaurant/Details/1474,77,2.1799999999999997,1.5,37.457044673539514,50.0
MLEČNA RESTAVRACIJA,Maistrov trg 13,KRANJ,7.0,5.2,3.5,2.38,46.241091,14.356279,1214,/sl/restaurant/Details/1214,77,1.7999999999999998,1.12,34.615384615384606,47.05882352941177
MLEČNA RESTAVRACIJA - DOSTAVA,Maistrov trg 13,KRANJ,8.0,6.2,4.5,3.38,46.241091,14.356279,2542,/sl/restaurant/Details/2542,77,1.7999999999999998,1.12,29.032258064516125,33.13609467455622
,,,,3.89,,1.07,,,3161,,,,,,
NAMASTE INDIAN EXPRESS,Trubarjeva ulica 31,LJUBLJANA,7.0,5.93,3.5,3.11,46.052474,14.509783,2828,/sl/restaurant/Details/2828,78,1.0700000000000003,0.3900000000000001,18.04384485666105,12.540192926045021
NJAMY - DOSTAVA,Šorlijeva 12,KRANJ,9.0,6.99,5.5,4.17,46.2519474,14.3572697,3167,/sl/restaurant/Details/3167,78,2.01,1.33,28.75536480686695,31.894484412470025
OKREPČEVALNICA - DINER KINO GLEDALIŠČE BEŽIGRAD,Linhartova 11,LJUBLJANA,7.6,6.39,4.1,3.57,46.0646461,14.5103219,2732,/sl/restaurant/Details/2732,79,1.21,0.5299999999999998,18.9358372456964,14.845938375350135
OKREPČEVALNICA - PIZZERIJA MAKS,Dunajska cesta 111,LJUBLJANA,6.4,5.69,2.9,2.87,46.0745055,14.5113788,1683,/sl/restaurant/Details/1683,79,0.71,0.029999999999999805,12.478031634446396,1.04529616724738
OKREPČEVALNICA AJDA,Ajdovščina 4,LJUBLJANA,7.5,5.82,4.0,3.0,46.0533642,14.5052036,2944,/sl/restaurant/Details/2944,79,1.6799999999999997,1.0,28.865979381443292,33.33333333333333
OKREPČEVALNICA BADOVINAC,Kardeljeva ploščad 5,LJUBLJANA,5.0,4.39,1.5,1.57,46.073666,14.5162984,1615,/sl/restaurant/Details/1615,79,0.6100000000000003,-0.07000000000000006,13.89521640091117,-4.458598726114653
OKREPČEVALNICA FERI,Smetanova ulica 17,MARIBOR,3.5,3.69,0.0,0.87,46.5594876,15.6392718,2347,/sl/restaurant/Details/2347,79,-0.18999999999999995,-0.87,-5.149051490514904,-100.0
OKREPČEVALNICA GOSPOSVETSKA,Gosposvetska cesta 83,MARIBOR,3.5,3.69,0.0,0.87,46.5630401,15.6269831,2650,/sl/restaurant/Details/2650,79,-0.18999999999999995,-0.87,-5.149051490514904,-100.0
OKREPČEVALNICA HOLYFOOD,Igriška ulica 5,LJUBLJANA,5.5,2.82,2.0,0.0,46.0480819,14.4993023,3071,/sl/restaurant/Details/3071,79,2.68,2.0,95.03546099290782,inf
OKREPČEVALNICA IZUM,Prešernova 17,MARIBOR,6.9,5.8,3.4,2.98,46.5636048,15.6514339,2652,/sl/restaurant/Details/2652,79,1.1000000000000005,0.41999999999999993,18.96551724137932,14.093959731543624
OKREPČEVALNICA MINUTKA,Celjska cesta 48 b,SLOVENJ GRADEC,6.5,5.4,3.0,2.58,46.5036301,15.0857854,1234,/sl/restaurant/Details/1234,79,1.0999999999999996,0.41999999999999993,20.370370370370363,16.279069767441857
MM PANDA,Koroška cesta 9,MARIBOR,6.0,4.89,2.5,2.07,46.5576636,15.643214,2360,/sl/restaurant/Details/2360,77,1.1100000000000003,0.43000000000000016,22.699386503067494,20.772946859903392
OKREPČEVALNICA PIVNICA ALF,Koroška cesta 5,MARIBOR,7.5,5.69,4.0,2.87,46.5576922,15.6436525,1237,/sl/restaurant/Details/1237,79,1.8099999999999996,1.13,31.810193321616865,39.37282229965156
